,Fraction of Outliers (Mean),Fraction of Outliers (Median),Fraction of Outliers (Std Dev),Fraction of Outliers IQR,Fraction of Outliers percent outliers,GCOR,Participant,Quality (Mean),Quality (Median),Quality (Std Dev),Quality IQR,Quality percent outliers,RMSD (Mean),RMSD (Median),RMSD (Std Dev),RMSD IQR,RMSD percent outliers,Series,Session,Site,Std. DVARS (Mean),Std. DVARS (Median),Std. DVARS (Std Dev),Std. DVARS percent outliers,Std. DVARs IQR,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
10,0.00139115,0.001115,0.0009307584,0.0007725,0.05,0.024435414,50012,0.0730798485,0.0729525,0.0009607813,0.001338075,0.01,0.1007486035,0.0912342542,0.0562847963,0.0703380869,0.03,rest_1,session_1,Pitt,1.1294555536,1.1083817444,0.1022323255,0.0100502513,0.1409674387,,16,,,,1,,3.125,3.125,4.00001,1,100,-115.291992188,-12.829750061,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500477   -0.         -115.29199219],[  0.           0.           4.0000062  -12.82975006],0,1.5
11,0.0057477,0.00103,0.0176378815,0.0009075,0.185,0.0339222892,50013,0.0855884515,0.0849426,0.0038904295,0.002671225,0.08,0.2303596309,0.1184659866,0.4276540749,0.0839446504,0.11,rest_1,session_1,Pitt,1.1092053653,0.9024339656,0.7175881984,0.135678392,0.1212591037,,16,,,,1,,3.125,3.125,4,1,100,-105.855278015,-16.7006454468,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -105.85527802],[  0.           0.           4.         -16.70064545],0,1.5
12,0.00147305,0.00095,0.0015308756,0.00025,0.175,0.0080109559,50014,0.080865699,0.0807651,0.0008244233,0.00099215,0.03,0.04571459,0.0406360064,0.0290251952,0.023787751,0.045,rest_1,session_1,Pitt,1.1517817287,1.1448489314,0.0607173526,0.0351758794,0.0761394148,,16,,,,1,,3.125,3.125,4.00001,1,100,-112.610717773,-52.2457237244,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500477   -0.         -112.61071777],[  0.           0.           4.0000062  -52.24572372],0,1.5
13,0.0016669,0.00081,0.0033422556,0.0003325,0.14,0.0059965819,50015,0.0676353325,0.06746085,0.0010917081,0.001139925,0.05,0.0960328923,0.085596025,0.0633507978,0.0441319168,0.05,rest_1,session_1,Pitt,1.1829929512,1.1659120586,0.1397502662,0.0251256281,0.13278622,,16,,,,1,,3.125,3.125,4,1,100,-116.031837463,-25.6689224243,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -116.03183746],[  0.           0.           4.         -25.66892242],0,1.5
14,0.00126205,0.000815,0.0015721397,0.00026,0.15,0.0308140902,50016,0.040701712,0.04037855,0.0009738984,0.001450925,0,0.0959591411,0.0857987377,0.0476269883,0.0607478112,0.03,rest_1,session_1,Pitt,1.0759301558,1.0627412384,0.0945435404,0.0351758794,0.1017227783,,16,,,,1,,3.125,3.125,4,1,100,-92.9155578613,-19.8988685608,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -92.91555786],[  0.           0.           4.         -19.89886856],0,1.5
15,0.00534045,0.0029,0.009410524,0.0042725,0.125,0.0660616548,50017,0.069484999,0.067003,0.0051935496,0.0107595,0,0.330641712,0.1527516492,0.4614737661,0.3198997292,0.105,rest_1,session_1,Pitt,0.9269926911,0.7041664581,0.4774934287,0.1206030151,0.3198851175,,16,,,,1,,3.125,3.125,4,1,100,-101.730247498,-4.9008483887,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -101.7302475 ],[ 0.          0.          3.99999976 -4.90084839],0,1.5
16,0.00212795,0.000615,0.0046333018,0.0004025,0.195,0.0212052486,50019,0.038291209,0.0373672,0.0030465012,0.002910925,0.065,0.2508972693,0.2281602243,0.1699392118,0.2138216943,0.025,rest_1,session_1,Pitt,1.0431508868,1.0037486742,0.2286100159,0.0351758794,0.2011193149,,16,,,,1,,3.125,3.125,4,1,100,-87.2210540771,-7.5950775147,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -87.22105408],[ 0.          0.          4.         -7.59507751],0,1.5
17,0.0014365,0.00093,0.0022524972,0.0004975,0.12,0.0208832149,50020,0.05834751,0.0580741,0.0012538933,0.00152505,0.02,0.1046337403,0.0927020527,0.0718512044,0.0488832104,0.06,rest_1,session_1,Pitt,1.0388570861,1.010318333,0.1361545285,0.040201005,0.1271049183,,16,,,,1,,3.125,3.125,4,1,100,-95.1340789795,-9.986656189,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -95.13407898],[ 0.          0.          4.         -9.98665619],0,1.5
18,0.00164355,0.00077,0.0029655266,0.000425,0.135,0.0202785205,50022,0.0549016005,0.05458975,0.0013039303,0.001154425,0.07,0.0801808089,0.0632457429,0.0694845224,0.0459041249,0.075,rest_1,session_1,Pitt,1.0472218408,1.0010366665,0.1705626083,0.0703517588,0.1144033531,,16,,,,1,,3.125,3.125,4,1,100,-99.2451095581,-36.0226821899,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -99.24510956],[  0.           0.           4.         -36.02268219],0,1.5
19,0.0014073,0.001,0.0015381696,0.0010975,0.04,0.0177533319,50023,0.0677961325,0.06765965,0.0020876996,0.003600025,0,0.1318718041,0.1001842095,0.1227347583,0.0802377965,0.075,rest_1,session_1,Pitt,0.9606435497,0.9221777516,0.2020492361,0.0854271357,0.1308709364,,16,,,,1,,3.125,3.125,4,1,100,-95.0648727417,-25.2903518677,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.12500024  -0.         -95.06487274],[  0.           0.           4.         -25.29035187],0,1.5
20,0.0011701,0.00095,0.0009035502,0.00021,0.125,0.0136944923,50024,0.056599189,0.0565625,0.0004686566,0.000605925,0.015,0.0786812569,0.0837005284,0.0333115854,0.0555578693,0,rest_1,session_1,Pitt,1.0762849778,1.06258806,0.0627290058,0.0150753769,0.07778322,,16,,,,1,,3.125,3.125,4,1,100,-97.5072555542,-34.3161010742,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -97.50725555],[  0.           0.           4.         -34.31610107],0,1.5
21,0.00126325,0.00092,0.0014928389,0.00029,0.09,0.0160379826,50025,0.0830202565,0.0827846,0.001108094,0.001191675,0.065,0.0944463486,0.0859240374,0.0468850334,0.0694150979,0.005,rest_1,session_1,Pitt,1.0358379617,1.0279476306,0.077705137,0.0050251256,0.1210239343,,16,,,,1,,3.125,3.125,4,1,100,-107.230728149,-68.8644485474,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -107.23072815],[  0.           0.           3.99999976 -68.86444855],0,1.5
22,0.00196915,0.00087,0.0055677802,0.0004025,0.15,0.0253330945,50026,0.052541341,0.05189995,0.001959153,0.0015509,0.075,0.3340522983,0.3184078953,0.1905033408,0.2694985999,0.01,rest_1,session_1,Pitt,1.1652840644,1.1331744923,0.2467924743,0.040201005,0.2840586535,,16,,,,1,,3.125,3.125,4,1,100,-102.612983704,-7.6787719727,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.           3.125       -0.        -102.6129837],[ 0.          0.          4.         -7.67877197],0,1.5
23,0.0086975,0.00088,0.0209494095,0.0018625,0.2,0.0146581086,50027,0.0905359325,0.08953515,0.0029923406,0.00180215,0.11,0.1261750506,0.0864439905,0.2449219641,0.0488863826,0.11,rest_1,session_1,Pitt,1.2837284032,1.1556777364,0.5549073541,0.0954773869,0.1706236431,,16,,,,1,,3.125,3.12517,4.00022,1,100,-109.567626953,-68.4907531738,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12517142   -0.         -109.56762695],[  0.           0.           4.00021935 -68.49075317],0,1.5
24,0.00136325,0.00094,0.0016349067,0.00045,0.125,0.0182885971,50028,0.0612240705,0.0611161,0.0011489804,0.00150475,0.015,0.2072291943,0.1810470226,0.1329348739,0.1292216479,0.085,rest_1,session_1,Pitt,1.1224084429,1.0370367549,0.29144449,0.0502512563,0.3251668026,,16,,,,1,,3.125,3.125,4,1,100,-106.123794556,-33.183757782,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -106.12379456],[  0.           0.           4.         -33.18375778],0,1.5
25,0.00209675,0.000935,0.0025771439,0.00156,0.115,0.0125092758,50029,0.0449250645,0.0447233,0.0008478962,0.001151875,0.015,0.0870439216,0.0778538954,0.0531237594,0.0596364405,0.04,rest_1,session_1,Pitt,1.1736720374,1.1585680258,0.0965369825,0.0653266332,0.0681711677,,16,,,,1,,3.125,3.125,4,1,100,-101.053070068,-21.837802887,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500024   -0.         -101.05307007],[  0.           0.           4.         -21.83780289],0,1.5
26,0.00193775,0.00093,0.0036673863,0.00064,0.11,0.0097639144,50030,0.0487228765,0.04848175,0.0010317764,0.001289225,0.035,0.0824827791,0.0817108309,0.0354906195,0.0488609338,0.01,rest_1,session_1,Pitt,1.2062267122,1.2137458152,0.0600922414,0.0251256281,0.067938172,,16,,,,1,,3.125,3.125,4,1,100,-97.2448348999,-42.3195037842,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.          3.125      -0.        -97.2448349],[  0.           0.           4.         -42.31950378],0,1.5
27,0.003426,0.00083,0.0096835992,0.0004625,0.18,0.0358501619,50031,0.0736819825,0.0733186,0.0035592731,0.005044875,0.025,0.1391374021,0.0695256914,0.2107764025,0.0815117615,0.11,rest_1,session_1,Pitt,0.9573730422,0.8396299048,0.4465234999,0.1055276382,0.1179731109,,16,,,,1,,3.125,3.125,4,1,100,-106.590026855,-62.5229263306,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -106.59002686],[  0.           0.           4.         -62.52292633],0,1.5
28,0.00210105,0.00083,0.0036682896,0.0003225,0.16,0.0204545052,50032,0.057723765,0.056946,0.0018568274,0.001109075,0.17,0.0644679167,0.0591008132,0.0371362237,0.0428318211,0.035,rest_1,session_1,Pitt,1.0634221621,1.0514070741,0.0627440828,0.0603015075,0.0461980164,,16,,,,1,,3.125,3.125,4,1,100,-102.132843018,-10.8368186951,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500024   -0.         -102.13284302],[  0.          0.          4.        -10.8368187],0,1.5
29,0.00373285,0.00089,0.0060565686,0.0036625,0.115,0.0256621253,50033,0.0753917535,0.07413295,0.0030754739,0.0030534,0.065,0.1106316208,0.0921170356,0.0888212653,0.049192018,0.09,rest_1,session_1,Pitt,1.0286277833,0.97152089,0.2909277964,0.0603015075,0.1453093407,,16,,,,1,,3.125,3.125,4,1,100,-108.989494324,-35.7960395813,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -108.98949432],[  0.           0.           4.         -35.79603958],0,1.5
30,0.0041757,0.00098,0.0156367371,0.00115,0.12,0.0425430645,50034,0.064887183,0.0644513,0.0021234184,0.00137505,0.04,0.1649682396,0.1121409639,0.2711682059,0.0588103827,0.06,rest_1,session_1,Pitt,1.0965484414,0.9721757434,0.56848286,0.0954773869,0.1143416528,,16,,,,1,,3.125,3.125,4,1,100,-101.881973267,-40.4559898376,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -101.88197327],[  0.           0.           3.99999976 -40.45598984],0,1.5
31,0.0048006,0.000975,0.0197635749,0.00078,0.11,0.0318798685,50035,0.0846440865,0.0838314,0.0036280984,0.0017177,0.045,0.1752506998,0.1236619675,0.2244553704,0.0888570206,0.07,rest_1,session_1,Pitt,1.1330159425,1.0052329453,0.5691162662,0.0854271357,0.1253625272,,16,,,,1,,3.125,3.125,4,1,100,-111.597946167,9.1657485962,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -111.59794617],[ 0.         0.         4.         9.1657486],0,1.5
32,0.0014465,0.00093,0.002210156,0.0002025,0.135,0.025455562,50036,0.0779725205,0.07788505,0.000651734,0.000704925,0.05,0.0849834329,0.082506124,0.032640842,0.049972702,0,rest_1,session_1,Pitt,1.1163920376,1.116211279,0.0560583737,0.0201005025,0.0688903712,,16,,,,1,,3.125,3.125,4,1,100,-106.680229187,-56.0913085938,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500024   -0.         -106.68022919],[  0.           0.           4.         -56.09130859],0,1.5
33,0.0011573,0.001075,0.0004628398,0.0003125,0.065,0.0175286247,50037,0.063800173,0.06374545,0.0005249641,0.000720825,0.01,0.0806664936,0.0798372119,0.0298477235,0.0487900731,0,rest_1,session_1,Pitt,1.1641784965,1.1695949148,0.0869734375,0,0.1454625258,,16,,,,1,,3.125,3.125,4,1,100,-87.2210540771,-7.5950775147,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -87.22105408],[ 0.          0.          4.         -7.59507751],0,1.5
34,0.00126545,0.00087,0.0020179135,0.00023,0.07,0.0289222132,50038,0.067578748,0.06750565,0.0007621767,0.000847025,0.025,0.1251570022,0.1235125537,0.0785507808,0.0758434451,0.025,rest_1,session_1,Pitt,1.1339319586,1.0957387812,0.1762386345,0.0954773869,0.1012281381,,16,,,,1,,3.125,3.125,4,1,100,-93.6519088745,-39.5820007324,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -93.65190887],[  0.           0.           4.         -39.58200073],0,1.5
35,0.0022217,0.001165,0.0024672035,0.00183,0.105,0.0556762601,50039,0.0659823895,0.06582685,0.0029568581,0.004180075,0.01,0.5669122171,0.4755533035,0.3355640591,0.4536203299,0.02,rest_1,session_1,Pitt,1.1526815351,1.1370521493,0.3870067724,0,0.56213065,,16,,,,1,,3.125,3.125,4,1,100,-94.187286377,-32.6568069458,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -94.18728638],[  0.           0.           4.         -32.65680695],0,1.5
36,0.00109805,0.00093,0.0008203638,0.00023,0.075,0.017922967,50040,0.062175385,0.06205635,0.0008461556,0.0010448,0.015,0.0834911061,0.0791285176,0.0368081752,0.0439711304,0.02,rest_1,session_1,Pitt,1.0664434712,1.0543079538,0.0724690953,0.0251256281,0.080268662,,16,,,,1,,3.125,3.125,4,1,100,-97.5497512817,-40.4897766113,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -97.54975128],[  0.           0.           3.99999976 -40.48977661],0,1.5
37,0.0012,0.00094,0.0014587556,0.00027,0.075,0.0178130696,50041,0.056881162,0.0568411,0.0005835923,0.0007085,0.015,0.0917186674,0.0883898479,0.0342188331,0.0457661043,0.01,rest_1,session_1,Pitt,1.0929152479,1.087740346,0.054109136,0.0251256281,0.0642439727,,16,,,,1,,3.125,3.125,4,1,100,-99.1935272217,-29.5727386475,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -99.19352722],[  0.           0.           4.         -29.57273865],0,1.5
38,0.0010258,0.0009,0.0004419461,0.0002925,0.085,0.0352171157,50042,0.052712735,0.0523066,0.001492791,0.0016756,0.035,0.1411648118,0.1238488293,0.0798231977,0.1052684621,0.015,rest_1,session_1,Pitt,1.051885809,1.0316508539,0.145882267,0.0301507538,0.1791149956,,16,,,,1,,3.125,3.125,4,1,100,-104.960250854,-35.1014556885,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -104.96025085],[  0.           0.           4.         -35.10145569],0,1.5
39,0.00300815,0.000875,0.0113420629,0.0003325,0.135,0.0165511446,50043,0.061050998,0.0607105,0.001590621,0.001119175,0.065,0.1827356191,0.1684359355,0.1129228129,0.1301559,0.015,rest_1,session_1,Pitt,1.1800376042,1.1410340378,0.2388733859,0.0301507538,0.18798584,,16,,,,1,,3.125,3.125,4,1,100,-98.4720458984,-42.509223938,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.          3.125      -0.        -98.4720459],[  0.           0.           3.99999976 -42.50922394],0,1.5
40,0.00103735,0.00091,0.0004832365,0.00024,0.065,0.019813015,50044,0.061334948,0.06124215,0.0007512142,0.001006075,0.02,0.0845983848,0.0874101261,0.0343813924,0.0531170604,0.005,rest_1,session_1,Pitt,1.070866115,1.0605857174,0.0536222518,0.040201005,0.0656687332,,16,,,,1,,3.125,3.125,4,1,100,-101.27898407,-29.9209880829,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -101.27898407],[  0.           0.           4.         -29.92098808],0,1.5
41,0.0014173,0.00072,0.0014466827,0.0006825,0.18,0.0135312992,50045,0.0592127275,0.05879285,0.0012926908,0.0017711,0,0.1113940217,0.1076862451,0.0512354428,0.0727564238,0.01,rest_1,session_1,Pitt,1.0500892724,1.0447988239,0.0555051776,0.0251256281,0.0631079552,,16,,,,1,,3.125,3.125,4,1,100,-101.059936523,-21.3390045166,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -101.05993652],[  0.           0.           4.         -21.33900452],0,1.5
42,0.0010068,0.00087,0.0005331967,0.0002825,0.09,0.0284983813,50046,0.0618186245,0.06119665,0.002071353,0.00355505,0,0.1413844758,0.1006864877,0.1179759162,0.1280710925,0.045,rest_1,session_1,Pitt,0.9741742192,0.9567682056,0.1325973187,0.0201005025,0.1773103742,,16,,,,1,,3.125,3.125,4,1,100,-105.10320282,-22.3082752228,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -105.10320282],[  0.           0.           3.99999976 -22.30827522],0,1.5
43,0.0011539,0.000875,0.0010219754,0.00029,0.13,0.0192340222,50047,0.0590567615,0.0588966,0.0014877331,0.0022237,0,0.116100397,0.0952389162,0.0852250603,0.0444275777,0.11,rest_1,session_1,Pitt,0.9677911835,0.9211754277,0.1743090369,0.1005025126,0.1073608047,,16,,,,1,,3.125,3.125,4,1,100,-100.981842041,-17.9736442566,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -100.98184204],[  0.           0.           3.99999976 -17.97364426],0,1.5
44,0.0051637,0.00112,0.0197362506,0.00207,0.095,0.1269334426,50048,0.092423695,0.0912128,0.0042624617,0.004092425,0.035,0.1909464744,0.1123660101,0.2744980624,0.1174556617,0.095,rest_1,session_1,Pitt,0.9719916895,0.7892187989,0.7437934436,0.135678392,0.159717835,,16,,,,1,,3.125,3.125,4,1,100,-102.524330139,-36.7652053833,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -102.52433014],[  0.           0.           3.99999976 -36.76520538],0,1.5
45,0.00380995,0.000925,0.0072130521,0.00038,0.19,0.0334368099,50049,0.094282521,0.0936442,0.0022647004,0.001511975,0.145,0.1943807643,0.1798875404,0.0940030145,0.1497797357,0,rest_1,session_1,Pitt,1.2481244664,1.2003013613,0.3321799436,0.040201005,0.1837876663,,16,,,,1,,3.125,3.125,4,1,100,-107.308738708,-29.8341350555,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -107.30873871],[  0.           0.           4.         -29.83413506],0,1.5
46,0.0012107,0.00086,0.0010993969,0.00035,0.14,0.0317833943,50050,0.0555477525,0.055568,0.0016264875,0.002429375,0.005,0.0991120846,0.0766163979,0.0809211591,0.064947702,0.095,rest_1,session_1,Pitt,1.0011184851,0.9689892082,0.1482168299,0.0904522613,0.1034818369,,16,,,,1,,3.125,3.125,4,1,100,-108.906326294,-10.9057846069,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -108.90632629],[  0.           0.           4.         -10.90578461],0,1.5
47,0.0012904,0.00105,0.000997206,0.0005525,0.06,0.0150642083,50051,0.058612477,0.0585281,0.0007886176,0.0007744,0.06,0.1095029783,0.1069628923,0.0426499729,0.0560981886,0.01,rest_1,session_1,Pitt,1.0666873903,1.0544064023,0.0803876369,0.0201005025,0.0993148136,,16,,,,1,,3.125,3.125,4,1,100,-102.864746094,-37.1971893311,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -102.86474609],[  0.           0.           4.         -37.19718933],0,1.5
